identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE
CNP0220352.1,C[C@H]1[C@@H]2[C@H]3[C@H](C)[C@]4(C)C(=C(O)C(=O)[C@H]5[C@@H]4C5(C)C)C(=O)[C@@]3(O)O[C@@H]2C(=O)C2=C(O)C(=O)[C@H]3[C@H](C3(C)C)[C@@]21C,524.61,3.09,138.2,0,8,3,1,0.44,Sesquiterpenoids,Terpenoids,False,-7.544,-9.449,234339,0.25840738,6.382023,-8.4965,38,0.19852631578947366,0.2486578947368421,0.22359210526315787
CNP0251739.2,CC[C@H](C)C=CC1=CC2=CC(=O)[C@@]3(C)OC(=O)C(C(=O)[C@@H](C)[C@@H](C)O)=C3C2=CO1,398.46,3.09,89.9,6,6,1,0,0.55,Chromanes,Phenolics,False,-6.7,-8.293,128436,1.5869724,6.1892257,-7.496499999999999,29,0.2310344827586207,0.2859655172413793,0.2585
CNP0508235.0,O=C(O)C(CSSC1CCCC[NH+]1[O-])NC1=[N+]([O-])CCCC1,349.48,0.4,102.9,6,6,3,0,0.36,Lysine alkaloids,Alkaloids,False,-5.858,-6.972,154794,2.3006482,5.234129,-6.415,22,0.26627272727272727,0.3169090909090909,0.2915909090909091
CNP0520965.1,O=C([O-])C1=CC(=CC=[N+]2C3=C(C=C(C(=O)O)OC3=O)C[C@H]2C(=O)O)C[C@@H](C(=O)O)N1,418.31,-1.93,197.28,5,8,4,0,0.39,Tyrosine alkaloids,Alkaloids,False,-6.786,-8.631,239047,2.428254,5.5004635,-7.7085,30,0.22619999999999998,0.2877,0.25695
CNP0224183.1,CC1(C)CC[C@@]2(CO)[C@@H](C1)[C@@]1(O)CC[C@@H]3[C@]45CC[C@H](OC4)C(C)(C)[C@@H]5C=C[C@@]3(C)[C@]1(CO)C[C@@H]2O,488.71,4.07,90.15,2,5,4,0,0.44,Triterpenoids,Terpenoids,False,-6.51,-9.01,231575,-0.3501322,6.709704,-7.76,35,0.186,0.2574285714285714,0.2217142857142857
CNP0499544.0,C[Si](C)(C)NC1=C(C(=N)O[Si](C)(C)C)N=CN1[Si](C)(C)C,342.67,3.99,62.93,5,5,2,0,0.48,Histidine alkaloids,Alkaloids,False,-4.081,-5.314,15002,4.255301,5.198458,-4.6975,21,0.19433333333333336,0.2530476190476191,0.22369047619047622
CNP0162635.1,C[C@H]1[C@H](C)CC[C@]2(C)[C@H](O)C[C@]34O[C@@H]5CC6=C(CC[C@H](O)C6(C)C)[C@](C)(CC[C@@]3(C)[C@H]12)[C@@]54C,456.71,6.27,49.69,0,3,2,1,0.42,Triterpenoids,Terpenoids,False,-6.528,-8.467,20693,-0.35378724,6.603542,-7.4975000000000005,33,0.1978181818181818,0.25657575757575757,0.22719696969696968
CNP0594516.1,CC1=C[C@@H]2/C=C(C)/C=C/C(=O)NCCC3=C[N+](=CN3C)CCCNC(=O)/C=C/C(C)=C/C=C/[C@@]2(C)CC1,503.71,4.42,67.01,0,3,2,1,0.41,Histidine alkaloids,Alkaloids,False,-8.301,-9.98,31085,1.092812,6.492243,-9.1405,37,0.22435135135135137,0.26972972972972975,0.24704054054054056
CNP0208479.2,CO/C=C1\CCNC1=S,143.21,0.84,21.26,1,2,1,0,0.33,Ornithine alkaloids,Alkaloids,False,-3.769,-4.068,40081,1.5243665,4.466333,-3.9185,9,0.4187777777777778,0.45199999999999996,0.4353888888888889
CNP0598571.2,C[C@@H]1O[C@@H]2OC1C[C@@H]1OCC3=C1C2=CC=C3O,234.25,2.17,47.92,0,4,1,0,0.75,Chromanes,Phenolics,False,-5.845,-7.207,51391,2.7099993,7.10408,-6.526,17,0.3438235294117647,0.4239411764705882,0.38388235294117645
